race_id,horse_number,horse_name,win_prob,win_odds,expected_value,finish_position,bet_amount,payout
202405010308,5,ライヴァル,0.13,516.1,67.093,13,100,0.0
202405010308,8,アンバーホーク,0.07,22.6,1.5820000000000003,14,100,0.0
202405010308,9,タイセイクラージュ,0.05,108.7,5.4350000000000005,16,100,0.0
202405010309,3,キャンシーエンゼル,0.11,30.3,3.333,3,100,0.0
202405010309,1,バロン,0.19,9.0,1.71,5,100,0.0
202405010309,5,アスティスプマンテ,0.16,11.8,1.8880000000000001,6,100,0.0
202405010309,8,アサギリ,0.09,68.0,6.12,7,100,0.0
202405010309,6,ディーノサンライズ,0.11,53.2,5.852,8,100,0.0
202405010310,2,プレジャークルーズ,0.09,15.0,1.3499999999999999,5,100,0.0
202405010310,10,ルルローズ,0.1,97.7,9.770000000000001,6,100,0.0
202405010310,11,ステイトダイアデム,0.08,23.4,1.8719999999999999,7,100,0.0
202405010310,12,トーセントラム,0.04,30.5,1.22,8,100,0.0
202405010310,13,ニシノレバンテ,0.11,31.7,3.487,9,100,0.0
202405010310,3,アルママ,0.06,60.7,3.642,10,100,0.0
202405010310,14,ラヴォルタ,0.12,30.1,3.612,11,100,0.0
202405010310,9,トゥーサン,0.1,118.8,11.88,13,100,0.0
202405010310,8,サトノヘリオス,0.04,30.6,1.224,14,100,0.0
202405010310,7,ロンギングバース,0.06,338.3,20.298,15,100,0.0
202405010311,11,レッドヴェロシティ,0.06,20.4,1.224,3,100,0.0
202405010311,12,スズカノロッソ,0.07,329.5,23.065,4,100,0.0
202405010311,3,タイセイシリウス,0.15,220.2,33.029999999999994,5,100,0.0
202405010311,8,エンドウノハナ,0.13,22.4,2.912,6,100,0.0
202405010311,6,エクセレントタイム,0.14,81.4,11.396000000000003,7,100,0.0
202405010311,10,マイネルケレリウス,0.05,28.0,1.4000000000000001,8,100,0.0
202405010311,1,ヒシゲッコウ,0.07,192.8,13.496000000000002,9,100,0.0
202405010311,2,サペラヴィ,0.06,137.5,8.25,10,100,0.0
202405010312,7,パンテレリア,0.06,31.5,1.89,4,100,0.0
202405010312,2,ストライク,0.06,74.8,4.4879999999999995,5,100,0.0
202405010312,10,セラフィナイト,0.06,23.1,1.3860000000000001,8,100,0.0
202405010312,14,フィフティシェビー,0.06,27.3,1.638,9,100,0.0
202405010312,16,デルマタモン,0.07,327.5,22.925,10,100,0.0
202405010312,1,エコルフリューゲル,0.05,270.8,13.540000000000001,11,100,0.0
202405010312,11,メラーキ,0.08,165.5,13.24,12,100,0.0
202405010312,4,サイモンメガライズ,0.07,290.5,20.335,13,100,0.0
202405010312,8,サイモンルモンド,0.09,584.3,52.586999999999996,14,100,0.0
202405010312,5,グラヴィル,0.11,237.7,26.147,15,100,0.0
202405010312,9,ロードレイライン,0.02,81.0,1.62,16,100,0.0
202408020301,8,フタバ,0.09,58.5,5.265,4,100,0.0
202408020301,5,ボビーニクビッタケ,0.07,19.4,1.358,5,100,0.0
202408020301,9,ベニスズメ,0.11,92.8,10.208,8,100,0.0
202408020301,4,ワイドステラ,0.11,160.1,17.611,9,100,0.0
202408020301,6,ミックスアップ,0.09,668.8,60.19199999999999,10,100,0.0
202408020301,3,ファストチアフル,0.05,386.2,19.310000000000002,11,100,0.0
202408020301,1,ナムラブリジット,0.1,151.5,15.15,12,100,0.0
202408020302,3,チョウガンバレ,0.09,340.7,30.662999999999997,2,100,0.0
202408020302,8,ユウトザキンパツ,0.14,50.7,7.098000000000001,3,100,0.0
202408020302,2,ケイアイアンタレス,0.13,10.6,1.378,6,100,0.0
202408020302,1,ダイメイゼット,0.13,243.8,31.694000000000003,7,100,0.0
202408020302,9,キングプリンス,0.12,414.6,49.752,7,100,0.0
202408020303,4,ダディーズアイル,0.08,17.6,1.4080000000000001,2,100,0.0
202408020303,9,ヨシノヤッタルデー,0.03,36.7,1.101,6,100,0.0
202408020303,6,デクランシェ,0.08,195.7,15.655999999999999,7,100,0.0
202408020303,10,クリノオデッセイ,0.07,98.1,6.867,9,100,0.0
202408020303,5,メイショウユメカゼ,0.05,198.4,9.920000000000002,10,100,0.0
202408020303,13,サンライズダマシイ,0.07,216.6,15.162,11,100,0.0
202408020303,3,ハニープリンセス,0.14,186.6,26.124000000000002,12,100,0.0
202408020303,11,キングリッキー,0.07,110.9,7.763000000000001,13,100,0.0
202408020303,8,オウケンボス,0.08,38.1,3.048,14,100,0.0
202408020304,13,テンカジョウ,0.04,60.5,2.42,1,100,6050.0
202408020304,1,ガブリエルアクア,0.1,12.9,1.29,6,100,0.0
202408020304,7,クロマク,0.07,22.0,1.54,7,100,0.0
202408020304,3,フレーズタルト,0.11,37.2,4.0920000000000005,9,100,0.0
202408020304,16,メイショウタイセツ,0.09,58.5,5.265,10,100,0.0
202408020304,11,ローズエクスプレス,0.04,188.1,7.524,12,100,0.0
