feature,importance,year,roi
track_condition_encoded,0.0,2022,77.75752314814815
track_surface_encoded,0.0,2022,77.75752314814815
bracket_number,0.0,2022,77.75752314814815
horse_weight,0.0,2022,77.75752314814815
age,83.91429901123047,2022,77.75752314814815
sex_encoded,0.0,2022,77.75752314814815
distance_m,0.0,2022,77.75752314814815
basis_weight,0.0,2022,77.75752314814815
field_size,0.0,2022,77.75752314814815
race_class,181.13520431518555,2022,77.75752314814815
prev_race_class,0.0,2022,77.75752314814815
class_change,0.0,2022,77.75752314814815
is_class_up,0.0,2022,77.75752314814815
is_class_down,0.0,2022,77.75752314814815
weight_trend,0.0,2022,77.75752314814815
horse_last3f_rank_avg,0.0,2022,77.75752314814815
horse_c4_leader_rate,0.0,2022,77.75752314814815
is_chitose_bred,0.0,2022,77.75752314814815
rest_days_optimal,0.0,2022,77.75752314814815
heavy_track_fit,522.5037117004395,2022,77.75752314814815
prev_finish_category,8912.742820739746,2022,77.75752314814815
distance_change,389.29959869384766,2022,77.75752314814815
distance_extend_flag,0.0,2022,77.75752314814815
surface_switch_flag,1740.50830078125,2022,77.75752314814815
basis_weight_light_flag,0.0,2022,77.75752314814815
horse_position_improvement_avg,0.0,2022,77.75752314814815
horse_front_runner_rate,5785.070846557617,2022,77.75752314814815
venue_expected_pace,0.0,2022,77.75752314814815
pace_style_match_score,0.0,2022,77.75752314814815
race_front_runner_count,0.0,2022,77.75752314814815
horse_c4_gap_avg,0.0,2022,77.75752314814815
post_style_conflict,1831.4539947509766,2022,77.75752314814815
front_runner_competition,158.10400390625,2022,77.75752314814815
course_corner_count,0.0,2022,77.75752314814815
course_start_to_corner_m,0.0,2022,77.75752314814815
course_final_straight_m,0.0,2022,77.75752314814815
course_slope_percent,0.0,2022,77.75752314814815
course_is_outer,0.0,2022,77.75752314814815
course_turn_direction,0.0,2022,77.75752314814815
straight_ratio,0.0,2022,77.75752314814815
is_long_straight,0.0,2022,77.75752314814815
style_straight_match,0.0,2022,77.75752314814815
front_slope_disadvantage,0.0,2022,77.75752314814815
closer_long_straight_advantage,0.0,2022,77.75752314814815
horse_win_rate,0.0,2021,79.88136574074073
horse_top3_rate,83.47090148925781,2021,79.88136574074073
horse_avg_finish,0.0,2021,79.88136574074073
horse_total_races,626.9710083007812,2021,79.88136574074073
horse_last_finish,5436.14794921875,2021,79.88136574074073
horse_last3_avg_finish,8101.9300537109375,2021,79.88136574074073
horse_days_since_last,0.0,2021,79.88136574074073
horse_last3f_avg,0.0,2021,79.88136574074073
jockey_win_rate,104.5199966430664,2021,79.88136574074073
jockey_top3_rate,4861.252960205078,2021,79.88136574074073
jockey_races,0.0,2021,79.88136574074073
trainer_win_rate,0.0,2021,79.88136574074073
trainer_top3_rate,0.0,2021,79.88136574074073
trainer_races,0.0,2021,79.88136574074073
sire_win_rate,0.0,2021,79.88136574074073
sire_races,0.0,2021,79.88136574074073
horse_avg_c4_pos,140.49099731445312,2021,79.88136574074073
horse_avg_c4_gap,323.2669982910156,2021,79.88136574074073
horse_running_style,0.0,2021,79.88136574074073
venue_pace_avg,0.0,2021,79.88136574074073
bracket_bias,0.0,2021,79.88136574074073
distance_category_encoded,0.0,2021,79.88136574074073
track_condition_encoded,0.0,2021,79.88136574074073
track_surface_encoded,0.0,2021,79.88136574074073
bracket_number,0.0,2021,79.88136574074073
horse_weight,0.0,2021,79.88136574074073
age,0.0,2021,79.88136574074073
sex_encoded,0.0,2021,79.88136574074073
distance_m,0.0,2021,79.88136574074073
basis_weight,0.0,2021,79.88136574074073
field_size,0.0,2021,79.88136574074073
race_class,0.0,2021,79.88136574074073
prev_race_class,0.0,2021,79.88136574074073
class_change,0.0,2021,79.88136574074073
is_class_up,0.0,2021,79.88136574074073
is_class_down,0.0,2021,79.88136574074073
weight_trend,0.0,2021,79.88136574074073
horse_last3f_rank_avg,0.0,2021,79.88136574074073
horse_c4_leader_rate,0.0,2021,79.88136574074073
is_chitose_bred,0.0,2021,79.88136574074073
rest_days_optimal,0.0,2021,79.88136574074073
heavy_track_fit,0.0,2021,79.88136574074073
prev_finish_category,1705.3009643554688,2021,79.88136574074073
distance_change,100.80500030517578,2021,79.88136574074073
distance_extend_flag,0.0,2021,79.88136574074073
surface_switch_flag,0.0,2021,79.88136574074073
basis_weight_light_flag,0.0,2021,79.88136574074073
horse_position_improvement_avg,0.0,2021,79.88136574074073
horse_front_runner_rate,0.0,2021,79.88136574074073
venue_expected_pace,0.0,2021,79.88136574074073
pace_style_match_score,0.0,2021,79.88136574074073
race_front_runner_count,0.0,2021,79.88136574074073
horse_c4_gap_avg,0.0,2021,79.88136574074073
post_style_conflict,0.0,2021,79.88136574074073
front_runner_competition,0.0,2021,79.88136574074073
course_corner_count,0.0,2021,79.88136574074073
course_start_to_corner_m,0.0,2021,79.88136574074073
course_final_straight_m,0.0,2021,79.88136574074073
course_slope_percent,0.0,2021,79.88136574074073
course_is_outer,0.0,2021,79.88136574074073
course_turn_direction,0.0,2021,79.88136574074073
straight_ratio,0.0,2021,79.88136574074073
is_long_straight,0.0,2021,79.88136574074073
style_straight_match,0.0,2021,79.88136574074073
front_slope_disadvantage,0.0,2021,79.88136574074073
closer_long_straight_advantage,0.0,2021,79.88136574074073
horse_win_rate,0.0,2020,79.21296296296296
horse_top3_rate,974.7080078125,2020,79.21296296296296
horse_avg_finish,174.7570037841797,2020,79.21296296296296
horse_total_races,0.0,2020,79.21296296296296
horse_last_finish,4777.267990112305,2020,79.21296296296296
horse_last3_avg_finish,6156.239990234375,2020,79.21296296296296
horse_days_since_last,0.0,2020,79.21296296296296
horse_last3f_avg,0.0,2020,79.21296296296296
jockey_win_rate,57.05220031738281,2020,79.21296296296296
jockey_top3_rate,3454.8769912719727,2020,79.21296296296296
jockey_races,0.0,2020,79.21296296296296
trainer_win_rate,0.0,2020,79.21296296296296
trainer_top3_rate,0.0,2020,79.21296296296296
trainer_races,0.0,2020,79.21296296296296
sire_win_rate,0.0,2020,79.21296296296296
sire_races,0.0,2020,79.21296296296296
horse_avg_c4_pos,179.3350067138672,2020,79.21296296296296
horse_avg_c4_gap,193.5850067138672,2020,79.21296296296296
horse_running_style,0.0,2020,79.21296296296296
venue_pace_avg,0.0,2020,79.21296296296296
bracket_bias,0.0,2020,79.21296296296296
distance_category_encoded,0.0,2020,79.21296296296296
track_condition_encoded,0.0,2020,79.21296296296296
track_surface_encoded,0.0,2020,79.21296296296296
bracket_number,0.0,2020,79.21296296296296
horse_weight,0.0,2020,79.21296296296296
age,0.0,2020,79.21296296296296
sex_encoded,0.0,2020,79.21296296296296
distance_m,0.0,2020,79.21296296296296
basis_weight,0.0,2020,79.21296296296296
field_size,0.0,2020,79.21296296296296
race_class,0.0,2020,79.21296296296296
prev_race_class,0.0,2020,79.21296296296296
class_change,0.0,2020,79.21296296296296
is_class_up,0.0,2020,79.21296296296296
is_class_down,0.0,2020,79.21296296296296
weight_trend,0.0,2020,79.21296296296296
horse_last3f_rank_avg,0.0,2020,79.21296296296296
horse_c4_leader_rate,0.0,2020,79.21296296296296
is_chitose_bred,0.0,2020,79.21296296296296
rest_days_optimal,0.0,2020,79.21296296296296
heavy_track_fit,0.0,2020,79.21296296296296
prev_finish_category,1397.2499694824219,2020,79.21296296296296
distance_change,118.33499908447266,2020,79.21296296296296
distance_extend_flag,0.0,2020,79.21296296296296
surface_switch_flag,282.05999755859375,2020,79.21296296296296
basis_weight_light_flag,0.0,2020,79.21296296296296
horse_position_improvement_avg,0.0,2020,79.21296296296296
horse_front_runner_rate,0.0,2020,79.21296296296296
venue_expected_pace,0.0,2020,79.21296296296296
pace_style_match_score,0.0,2020,79.21296296296296
race_front_runner_count,0.0,2020,79.21296296296296
horse_c4_gap_avg,0.0,2020,79.21296296296296
post_style_conflict,0.0,2020,79.21296296296296
front_runner_competition,0.0,2020,79.21296296296296
course_corner_count,0.0,2020,79.21296296296296
course_start_to_corner_m,0.0,2020,79.21296296296296
course_final_straight_m,0.0,2020,79.21296296296296
course_slope_percent,0.0,2020,79.21296296296296
course_is_outer,0.0,2020,79.21296296296296
course_turn_direction,0.0,2020,79.21296296296296
straight_ratio,0.0,2020,79.21296296296296
is_long_straight,0.0,2020,79.21296296296296
style_straight_match,0.0,2020,79.21296296296296
front_slope_disadvantage,0.0,2020,79.21296296296296
closer_long_straight_advantage,0.0,2020,79.21296296296296
horse_win_rate,0.0,2019,72.0944380069525
horse_top3_rate,3678.1187953948975,2019,72.0944380069525
horse_avg_finish,773.8926086425781,2019,72.0944380069525
horse_total_races,715.8787002563477,2019,72.0944380069525
horse_last_finish,31032.827417373657,2019,72.0944380069525
horse_last3_avg_finish,24986.40247440338,2019,72.0944380069525
horse_days_since_last,216.61370468139648,2019,72.0944380069525
horse_last3f_avg,0.0,2019,72.0944380069525
jockey_win_rate,4553.708943367004,2019,72.0944380069525
jockey_top3_rate,12577.717782974243,2019,72.0944380069525
jockey_races,15.078200340270996,2019,72.0944380069525
trainer_win_rate,148.55799865722656,2019,72.0944380069525
trainer_top3_rate,408.9641914367676,2019,72.0944380069525
trainer_races,10.555700302124023,2019,72.0944380069525
sire_win_rate,0.0,2019,72.0944380069525
sire_races,4.802130222320557,2019,72.0944380069525
horse_avg_c4_pos,670.6286010742188,2019,72.0944380069525
horse_avg_c4_gap,9931.55466079712,2019,72.0944380069525
horse_running_style,0.0,2019,72.0944380069525
venue_pace_avg,0.0,2019,72.0944380069525
bracket_bias,0.0,2019,72.0944380069525
distance_category_encoded,0.0,2019,72.0944380069525
track_condition_encoded,0.0,2019,72.0944380069525
track_surface_encoded,190.9759979248047,2019,72.0944380069525
bracket_number,0.0,2019,72.0944380069525
horse_weight,0.0,2019,72.0944380069525
age,219.09169578552246,2019,72.0944380069525
sex_encoded,0.0,2019,72.0944380069525
distance_m,71.09379959106445,2019,72.0944380069525
basis_weight,57.78576946258545,2019,72.0944380069525
field_size,125.21699905395508,2019,72.0944380069525
race_class,39.109100341796875,2019,72.0944380069525
prev_race_class,53.97710037231445,2019,72.0944380069525
class_change,27.941200256347656,2019,72.0944380069525
is_class_up,0.0,2019,72.0944380069525
is_class_down,13.065400123596191,2019,72.0944380069525
weight_trend,0.0,2019,72.0944380069525
horse_last3f_rank_avg,270.94535624980927,2019,72.0944380069525
horse_c4_leader_rate,0.0,2019,72.0944380069525
is_chitose_bred,0.0,2019,72.0944380069525
rest_days_optimal,0.0,2019,72.0944380069525
heavy_track_fit,621.8303937911987,2019,72.0944380069525
prev_finish_category,13781.136979341507,2019,72.0944380069525
distance_change,1298.7118368148804,2019,72.0944380069525
distance_extend_flag,291.07169342041016,2019,72.0944380069525
surface_switch_flag,5610.268129348755,2019,72.0944380069525
basis_weight_light_flag,0.0,2019,72.0944380069525
horse_position_improvement_avg,0.0,2019,72.0944380069525
horse_front_runner_rate,3844.706169128418,2019,72.0944380069525
venue_expected_pace,33.32889938354492,2019,72.0944380069525
pace_style_match_score,8.1951904296875,2019,72.0944380069525
race_front_runner_count,0.0,2019,72.0944380069525
horse_c4_gap_avg,760.1850204467773,2019,72.0944380069525
post_style_conflict,2172.226531982422,2019,72.0944380069525
front_runner_competition,189.1448974609375,2019,72.0944380069525
course_corner_count,0.0,2019,72.0944380069525
course_start_to_corner_m,0.0,2019,72.0944380069525
course_final_straight_m,30.98699951171875,2019,72.0944380069525
course_slope_percent,0.0,2019,72.0944380069525
course_is_outer,0.0,2019,72.0944380069525
course_turn_direction,0.0,2019,72.0944380069525
straight_ratio,26.385089874267578,2019,72.0944380069525
is_long_straight,0.0,2019,72.0944380069525
style_straight_match,190.36193132400513,2019,72.0944380069525
front_slope_disadvantage,0.0,2019,72.0944380069525
closer_long_straight_advantage,0.0,2019,72.0944380069525
horse_win_rate,0.0,2018,78.65373480023162
horse_top3_rate,165.0449981689453,2018,78.65373480023162
horse_avg_finish,0.0,2018,78.65373480023162
horse_total_races,0.0,2018,78.65373480023162
horse_last_finish,1511.6500244140625,2018,78.65373480023162
horse_last3_avg_finish,3488.010009765625,2018,78.65373480023162
horse_days_since_last,0.0,2018,78.65373480023162
horse_last3f_avg,314.0320129394531,2018,78.65373480023162
jockey_win_rate,128.3070068359375,2018,78.65373480023162
jockey_top3_rate,2043.343406677246,2018,78.65373480023162
jockey_races,0.0,2018,78.65373480023162
trainer_win_rate,0.0,2018,78.65373480023162
trainer_top3_rate,0.0,2018,78.65373480023162
trainer_races,0.0,2018,78.65373480023162
sire_win_rate,0.0,2018,78.65373480023162
sire_races,0.0,2018,78.65373480023162
horse_avg_c4_pos,100.3313980102539,2018,78.65373480023162
horse_avg_c4_gap,445.46851348876953,2018,78.65373480023162
horse_running_style,0.0,2018,78.65373480023162
venue_pace_avg,0.0,2018,78.65373480023162
bracket_bias,0.0,2018,78.65373480023162
distance_category_encoded,0.0,2018,78.65373480023162
track_condition_encoded,0.0,2018,78.65373480023162
track_surface_encoded,0.0,2018,78.65373480023162
bracket_number,0.0,2018,78.65373480023162
horse_weight,0.0,2018,78.65373480023162
age,0.0,2018,78.65373480023162
sex_encoded,0.0,2018,78.65373480023162
distance_m,0.0,2018,78.65373480023162
basis_weight,0.0,2018,78.65373480023162
field_size,0.0,2018,78.65373480023162
race_class,0.0,2018,78.65373480023162
prev_race_class,0.0,2018,78.65373480023162
class_change,0.0,2018,78.65373480023162
is_class_up,0.0,2018,78.65373480023162
is_class_down,0.0,2018,78.65373480023162
weight_trend,0.0,2018,78.65373480023162
horse_last3f_rank_avg,0.0,2018,78.65373480023162
horse_c4_leader_rate,0.0,2018,78.65373480023162
is_chitose_bred,0.0,2018,78.65373480023162
rest_days_optimal,0.0,2018,78.65373480023162
