race_id,n_horses,odds_mean,odds_std,odds_cv,odds_min,odds_max,top1_horse,top1_prob,top1_odds,top1_relative_odds,top1_finish,top1_hit,top1_ev,top2_horse,top2_prob,top2_odds,top2_finish,winner_horse,winner_pred_rank,winner_pred_prob,winner_odds,winner_relative_odds,prob_gap_1_2,odds_gap_1_2,actual_2nd_horse,actual_3rd_horse,tansho_payout,tansho_horse,umaren_payout,umaren_horses,umatan_payout,sanrenpuku_payout,sanrentan_payout,wide_payouts,wide_min,wide_max
202509040309,18,84.0611111111111,96.92716573549616,1.153055966716629,2.4,372.3,18,0.21344536879485607,5.8,0.06899742251007865,2,False,1.2379831390101652,7,0.11031751029652791,4.5,5,9,3,0.10240610007303808,2.4,0.028550657590377372,0.10312785849832816,-1.2999999999999998,18,14,240,9,750,"(9, 18)",1180,5690,18450,"[350, 1320, 2280]",350,2280
202509040311,15,37.833333333333336,53.59617079427899,1.4166388756197088,3.1,202.3,11,0.2710866082417494,4.7,0.12422907488986784,1,True,1.2741070587362222,12,0.12668645970764064,3.1,2,11,1,0.2710866082417494,4.7,0.12422907488986784,0.14440014853410876,-1.6,12,2,470,11,910,"(11, 12)",1830,3050,12720,"[430, 810, 760]",430,810
202509040407,14,76.58571428571429,101.0380496274917,1.319280633076743,1.9,285.8,14,0.28689748378074004,1.9,0.024808804327550827,4,False,0.545105219183406,2,0.15670407222209026,12.9,10,1,3,0.15109168136790174,3.1,0.04047752285021451,0.13019341155864977,11.0,6,8,310,1,1980,"(1, 6)",3140,12250,38430,"[810, 1270, 3520]",810,3520
202509040410,11,52.372727272727275,102.30991243187621,1.9534959846391917,2.4,354.0,4,0.3839665821889331,4.9,0.09356014580801944,7,False,1.8814362527257722,7,0.1710977594323852,11.3,3,8,9,0.06475236161566117,2.4,0.045825377538621766,0.2128688227565479,6.4,10,7,240,8,770,"(8, 10)",1200,2090,6820,"[310, 500, 900]",310,900
202509040402,10,33.04,45.327994783699744,1.371912675051445,3.1,151.1,5,0.4770598632010431,4.4,0.13317191283292978,1,True,2.09906339808459,10,0.32847978992318977,3.1,2,5,1,0.4770598632010431,4.4,0.13317191283292978,0.14858007327785333,-1.3000000000000003,10,3,440,5,640,"(5, 10)",1400,2790,11010,"[340, 930, 880]",340,930
202509040502,8,27.3125,30.59110223111102,1.1200403562878176,2.3,82.6,2,0.23907683128332566,2.3,0.08421052631578947,6,False,0.549876711951649,1,0.2123995914187624,4.6,3,6,6,0.08491788779671615,6.7,0.24530892448512587,0.026677239864563246,2.3,5,1,670,6,880,"(5, 6)",2100,950,7780,"[330, 460, 290]",290,460
202509040409,9,71.03333333333333,73.36935668247337,1.0328862977354298,1.1,213.3,8,0.3644038018375024,5.3,0.07461285781323322,2,False,1.9313401497387626,5,0.26146289687830215,1.1,3,6,6,0.015252546356947793,25.1,0.35335523228531207,0.10294090495920022,-4.199999999999999,8,5,2510,6,3000,"(6, 8)",8800,420,17640,"[370, 230, 140]",140,370
202509040602,7,41.371428571428574,55.71354456161488,1.3466671682710778,1.7,143.6,4,0.1595536866848157,20.2,0.4882596685082872,3,False,3.222984471033277,7,0.15024903448558038,17.1,6,3,3,0.13216391367072716,1.7,0.041091160220994474,0.00930465219923532,-3.099999999999998,2,4,170,3,530,"(2, 3)",790,1280,3060,"[210, 290, 680]",210,680
202509040411,17,55.45294117647059,62.76654281588897,1.1318884352075023,2.9,229.6,2,0.2519885178343385,8.8,0.15869311551925322,5,False,2.2174989569421792,11,0.11441534544071212,2.9,1,11,2,0.11441534544071212,2.9,0.05229659488702662,0.13757317239362638,-5.9,10,14,290,11,3500,"(10, 11)",5640,29720,121090,"[1220, 1880, 8260]",1220,8260
202509040503,5,18.22,28.35783842255964,1.5564126466827466,1.7,68.1,4,0.45916181402121037,3.8,0.20856201975850713,4,False,1.7448148932805994,5,0.3148923673062017,1.7,2,1,3,0.23121024481578323,2.9,0.15916575192096596,0.1442694467150087,-2.0999999999999996,5,2,290,1,170,"(1, 5)",430,370,1350,"[110, 240, 230]",110,240
